Mic,MicName,ExchangeCode,ExchangeName
XBLB,BANJA LUKA STOCK EXCHANGE,BNL,Banja Luka Exchange
XTNX,TSX VENTURE EXCHANGE - NEX,NEX,TSX Venture Exchange - NEX
XCNQ,CANADIAN SECURITIES EXCHANGE,CNX,Canadian Securities Exchange - CSE Listed
XUGA,UGANDA SECURITIES EXCHANGE,UGS,Uganda Securities Exchange
XXXX,"NO MARKET (EG, UNLISTED)",PCQ,NYSE Arca Consolidated
XNEC,NATIONAL STOCK EXCHANGE OF AUSTRALIA LIMITED,NSX,National Stock Exchange of Australia Ltd
XIQS,IRAQ STOCK EXCHANGE,ISX,Iraq Stock Exchange
XXXX,"NO MARKET (EG, UNLISTED)",DEU,German Composite
HSTC,HANOI STOCK EXCHANGE,HNX,Hanoi Stock Exchange
DIFX,NASDAQ DUBAI,DIX,NASDAQ Dubai Ltd
TFEX,THAILAND FUTURES EXCHANGE,TFX,THAILAND FUTURES EXCHANGE PUBLIC COMPANY LIMITED
DGCX,DUBAI GOLD & COMMODITIES EXCHANGE DMCC,DGX,Dubai Gold and Commodities Exchange
XISX,"INTERNATIONAL SECURITIES EXCHANGE, LLC",ISS,ISE when trading NYSE and AMEX Stocks
PURE,CANADIAN SECURITIES EXCHANGE - PURE,PTX,Canadian Securities Exchange/PURE - CSE Listed & Other Canadian Listed Securities
XNGS,NASDAQ/NGS (GLOBAL SELECT MARKET),NSM,NASDAQ Stock Exchange Global Select Market
XPSX,NASDAQ OMX PSX,GSX,NASDAQ OMX PHLX Global Select Market
XXXX,"NO MARKET (EG, UNLISTED)",NSQ,NASDAQ Global Select Consolidated
XNYS,"NEW YORK STOCK EXCHANGE, INC.",GSN,NYSE when trading NASDAQ Global Select Market
XASE,NYSE MKT LLC,GSA,NYSE American when trading NASDAQ Global Select Mkt
XBOS,NASDAQ OMX BX,GSB,Boston SE when trading NASDAQ Global Select Market
XCHI,"NYSE CHICAGO, INC.",GSM,Chicago SE when trading NASDAQ Global Select Market
XCIS,"NATIONAL STOCK EXCHANGE, INC.",GSC,NYSE National Exchange when trading Nasdaq Global Select Market
XISX,"INTERNATIONAL SECURITIES EXCHANGE, LLC",GSI,ISE when trading NASDAQ Global Select Market
ARCX,NYSE ARCA,GSP,NYSE Arca when trading NASDAQ Global Select Market
XADF,FINRA ALTERNATIVE DISPLAY FACILITY,GSD,NASD ADF when trading NASDAQ Global Select Market
ETLX,EUROTLX,ETX,Euro TLX
XMAE,MACEDONIAN STOCK EXCHANGE,MKE,Macedonian Stock Exchange
XQMH,SIX SWISS EXCHANGE ?Çô STRUCTURED PRODUCTS,QMH,Scoach Switzerland AG
SBIJ,JAPANNEXT - J - MARKET,JNX,Sbi Japannext Co Ltd
XXXX,"NO MARKET (EG, UNLISTED)",AUX,Australian Consolidated
XSSE,SARAJEVO STOCK EXCHANGE,SRJ,Sarajevo Stock Exchange
OMGA,OMEGA ATS,OMG,Tradelogiq Omega ATS
XATS,ALPHA EXCHANGE,ALP,Alpha - Canadian ATS
CHIC,CHI-X CANADA ATS,CXC,Nasdaq CXC
